"error","ranef","alpha","var.settings","variable","prop.reject","nortest","random.effect","rotation","s"
"norm","t",0.05,"sige2_sigb1","AD.b0",0.136,"AD","b0","Rotated",55
"norm","t",0.1,"sige2_sigb1","AD.b0",0.203,"AD","b0","Rotated",55
"t","exp",0.05,"sige2_sigb1","AD.b0",0.125,"AD","b0","Rotated",55
"t","exp",0.1,"sige2_sigb1","AD.b0",0.205,"AD","b0","Rotated",55
"t","norm",0.05,"sige2_sigb1","AD.b0",0.076,"AD","b0","Rotated",55
"t","norm",0.1,"sige2_sigb1","AD.b0",0.134,"AD","b0","Rotated",55
"t","t",0.05,"sige2_sigb1","AD.b0",0.186,"AD","b0","Rotated",55
"t","t",0.1,"sige2_sigb1","AD.b0",0.253,"AD","b0","Rotated",55
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.184,"AD","b0","Rotated",55
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.242,"AD","b0","Rotated",55
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.036,"AD","b0","Rotated",55
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.085,"AD","b0","Rotated",55
"exp","t",0.05,"sige1_sigb1","AD.b0",0.238,"AD","b0","Rotated",55
"exp","t",0.1,"sige1_sigb1","AD.b0",0.324,"AD","b0","Rotated",55
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.174,"AD","b0","Rotated",55
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.271,"AD","b0","Rotated",55
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.042,"AD","b0","Rotated",55
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.095,"AD","b0","Rotated",55
"norm","t",0.05,"sige1_sigb1","AD.b0",0.192,"AD","b0","Rotated",55
"norm","t",0.1,"sige1_sigb1","AD.b0",0.284,"AD","b0","Rotated",55
"t","exp",0.05,"sige1_sigb1","AD.b0",0.195,"AD","b0","Rotated",55
"t","exp",0.1,"sige1_sigb1","AD.b0",0.291,"AD","b0","Rotated",55
"t","norm",0.05,"sige1_sigb1","AD.b0",0.064,"AD","b0","Rotated",55
"t","norm",0.1,"sige1_sigb1","AD.b0",0.099,"AD","b0","Rotated",55
"t","t",0.05,"sige1_sigb1","AD.b0",0.244,"AD","b0","Rotated",55
"t","t",0.1,"sige1_sigb1","AD.b0",0.308,"AD","b0","Rotated",55
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.229,"AD","b0","Rotated",55
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.318,"AD","b0","Rotated",55
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.049,"AD","b0","Rotated",55
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.101,"AD","b0","Rotated",55
"exp","t",0.05,"sige1_sigb2","AD.b0",0.27,"AD","b0","Rotated",55
"exp","t",0.1,"sige1_sigb2","AD.b0",0.35,"AD","b0","Rotated",55
